Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2017,02,22,1 Gol(s),0,0,Valencia,La Liga (Espanha),Real Madrid,2-1,Derrota
2017,02,18,Nenhuma,0,0,Espanyol,La Liga (Espanha),Real Madrid,2-0,Vitória
2017,02,15,1 Assist.,0,0,Napoli,Champions League,Real Madrid,3-1,Vitória
2017,02,11,1 Gol(s),0,0,Osasuna,La Liga (Espanha),Real Madrid,1-3,Vitória
2017,01,29,1 Gol(s) / 1 Assist.,0,0,Real Sociedad,La Liga (Espanha),Real Madrid,3-0,Vitória
2017,01,25,1 Gol(s),0,0,Celta de Vigo,Copa do Rei (Espanha),Real Madrid,2-2,Empate
2017,01,21,Nenhuma,0,0,Málaga,La Liga (Espanha),Real Madrid,2-1,Vitória
2017,01,18,Nenhuma,0,0,Celta de Vigo,Copa do Rei (Espanha),Real Madrid,1-2,Derrota
2017,01,15,1 Gol(s),0,0,Sevilla,La Liga (Espanha),Real Madrid,2-1,Derrota
2017,01,07,1 Gol(s),0,0,Granada,La Liga (Espanha),Real Madrid,5-0,Vitória
2018,12,29,2 Gol(s),0,0,Sampdoria,SA,Juventus,2-1,Vitória
2018,12,26,1 Gol(s),0,0,Atalanta,SA,Juventus,2-2,Empate
2018,12,22,Nenhuma,0,0,Roma,SA,Juventus,1-0,Vitória
2018,12,15,1 Gol(s),1,0,Torino,SA,Juventus,0-1,Vitória
2018,12,12,1 Assist.,0,0,Young Boys,Champions League,Juventus,2-1,Derrota
2018,12,07,Nenhuma,0,0,Internazionale,SA,Juventus,1-0,Vitória
2018,12,01,1 Gol(s),1,0,Fiorentina,SA,Juventus,0-3,Vitória
2018,11,27,1 Assist.,0,0,Valencia,Champions League,Juventus,1-0,Vitória
2018,11,24,1 Gol(s),0,0,SPAL,SA,Juventus,2-0,Vitória
2018,11,11,1 Gol(s),0,0,Milan,SA,Juventus,0-2,Vitória
2018,11,07,1 Gol(s),0,0,Manchester United,Champions League,Juventus,1-2,Derrota
2018,11,03,1 Assist.,0,0,Cagliari,SA,Juventus,3-1,Vitória
2018,10,27,2 Gol(s),0,0,Empoli,SA,Juventus,1-2,Vitória
2018,10,23,Nenhuma,0,0,Manchester United,Champions League,Juventus,0-1,Vitória
2018,10,20,1 Gol(s),0,0,Genoa,SA,Juventus,1-1,Empate
2018,10,06,1 Gol(s),0,0,Udinese,SA,Juventus,0-2,Vitória
2018,09,29,2 Assist.,0,0,Napoli,SA,Juventus,3-1,Vitória
2018,09,26,1 Assist.,0,0,Bologna,SA,Juventus,2-0,Vitória
2018,09,23,1 Gol(s),0,0,Frosinone,SA,Juventus,0-2,Vitória
2018,09,19,Nenhuma,0,1,Valencia,Champions League,Juventus,0-2,Vitória
