Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2017,04,11,Nenhuma,0,0,Juventus,Champions League,Barcelona,3-0,Derrota
2017,04,08,Nenhuma,0,0,Málaga,La Liga (Espanha),Barcelona,2-0,Derrota
2017,04,05,2 Gol(s),0,0,Sevilla,La Liga (Espanha),Barcelona,3-0,Vitória
2017,03,23,1 Gol(s),0,0,Chile,Eliminatórias da Copa do Mundo,Argentina,1-0,Vitória
2017,03,19,2 Gol(s),1,0,Valencia,La Liga (Espanha),Barcelona,4-2,Vitória
2017,03,12,Nenhuma,0,0,Deportivo,La Liga (Espanha),Barcelona,2-1,Derrota
2017,03,08,1 Gol(s),0,0,PSG,Champions League,Barcelona,6-1,Vitória
2017,03,04,2 Gol(s) / 2 Assist.,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,5-0,Vitória
2017,03,01,1 Gol(s) / 1 Assist.,0,0,Sporting Gijón,La Liga (Espanha),Barcelona,6-1,Vitória
2017,02,26,1 Gol(s),1,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-2,Vitória
2017,02,19,2 Gol(s),0,0,Leganés,La Liga (Espanha),Barcelona,2-1,Vitória
2017,02,14,Nenhuma,0,0,PSG,Champions League,Barcelona,4-0,Derrota
2017,02,11,1 Gol(s),0,0,Alavés,La Liga (Espanha),Barcelona,0-6,Vitória
2017,02,07,Nenhuma,0,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,1-1,Empate
2017,02,04,1 Gol(s),0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,3-0,Vitória
2017,02,01,1 Gol(s),1,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,1-2,Vitória
2017,01,29,1 Assist.,0,0,Real Betis,La Liga (Espanha),Barcelona,1-1,Empate
2017,01,26,1 Gol(s) / 2 Assist.,0,0,Real Sociedad,Copa do Rei (Espanha),Barcelona,5-2,Vitória
2017,01,22,1 Gol(s),0,0,Eibar,La Liga (Espanha),Barcelona,0-4,Vitória
2017,01,19,Nenhuma,1,0,Real Sociedad,Copa do Rei (Espanha),Barcelona,0-1,Vitória
2017,01,14,1 Gol(s),0,0,Las Palmas,La Liga (Espanha),Barcelona,5-0,Vitória
2017,01,11,1 Gol(s),0,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,3-1,Vitória
2017,01,08,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Barcelona,1-1,Empate
2017,01,05,1 Gol(s),0,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,2-1,Derrota
2018,12,22,1 Gol(s),0,0,Celta de Vigo,La Liga (Espanha),Barcelona,2-0,Vitória
2018,12,16,3 Gol(s) / 2 Assist.,0,0,Levante,La Liga (Espanha),Barcelona,0-5,Vitória
2018,12,11,Nenhuma,0,0,Tottenham,Champions League,Barcelona,1-1,Empate
2018,12,08,2 Gol(s) / 1 Assist.,0,0,Espanyol,La Liga (Espanha),Barcelona,0-4,Vitória
2018,12,02,1 Assist.,0,0,Villarreal,La Liga (Espanha),Barcelona,2-0,Vitória
2018,11,28,1 Gol(s) / 1 Assist.,0,0,PSV,Champions League,Barcelona,1-2,Vitória
2018,11,24,1 Assist.,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-1,Empate
2018,11,11,2 Gol(s),0,0,Real Betis,La Liga (Espanha),Barcelona,3-4,Derrota
2018,10,20,1 Gol(s) / 1 Assist.,0,0,Sevilla,La Liga (Espanha),Barcelona,4-2,Vitória
2018,10,07,1 Gol(s),0,0,Valencia,La Liga (Espanha),Barcelona,1-1,Empate
